Species,Tissue,CellType,Marker,Resource
Human,Fetal adrenal gland,Mesenchymal stem cell,"COL1A1, COL1A2, COL3A1, COL12A1, COL5A2, DCN, LUM, OGN",32214235
Human,Fetal adrenal gland,Monocyte,CD14,32214235
Human,Fetal adrenal gland,Neuron,"EDNRB, GAP43, PLP1, SOX4, STMN2, TUBA1B, UCHL1",32214235
Human,Fetal adrenal gland,Neutrophil,"ELANE, MPO, S100A8, S100A9, DEFA3, DEFA4, MMP8, RNASE2",32214235
Human,Fetal adrenal gland,Primordial germ cell,POU5F1,32214235
Human,Fetal adrenal gland,Smooth muscle cell,"ACTA2, MYL6, TAGLN",32214235
Human,Fetal adrenal gland,Stromal cell,"COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, LUM",32214235
Human,Fetal adrenal gland,T cell,"CD3D, CD3E, TRAC, TRBC1, TRBC2",32214235
Human,Adventitia,Pluripotent stem cell,"CD34, CD44, NT5E, PTPRC, THY1",21637782
Human,Knee,B cell,"BLK, CD19, CD79A, CD79B",33495604
Human,Knee,Cancer-associated fibroblast,"COL1A1, COL1A2, COL6A1, COL6A2, COL6A3, DCN, FAP, THY1",33495604
Human,Knee,Chondroblast,"BIRC5, CENPU, DHFR, STMN1, UBE2C",32616761
Human,Knee,Dendritic cell,"CD1C, FCER1A",32616761
Human,Knee,Endothelial cell,"CDH5, PECAM1, PLVAP, TM4SF1, VWF","33495604, 32616761"
Human,Knee,Epithelial cell,"EPCAM, KRT1, KRT10, KRT12, KRT13, KRT14, KRT15, KRT16, KRT17, KRT18, KRT19, KRT2, KRT20, KRT23, KRT24, KRT25, KRT26, KRT27, KRT28, KRT3, KRT31, KRT32, KRT33A, KRT33B, KRT34, KRT35, KRT36, KRT37, KRT38, KRT39, KRT4, KRT40, KRT5, KRT6A, KRT6B, KRT6C, KRT7, KRT71, KRT72, KRT73, KRT74, KRT75, KRT76, KRT77, KRT78, KRT79, KRT8, KRT80, KRT81, KRT82, KRT83, KRT84, KRT85, KRT86, KRT9, MUC1",33495604
Human,Knee,Fibroblast,HLA-DRA,32616761
Human,Knee,Macrophage,"CD14, CD163, CSF1R, FCGR3A","33495604, 32616761"
Human,Knee,Mast cell,"ENPP3, KIT, TPSAB1","33495604, 32616761"
Human,Knee,Mature NK T cell,ZBTB16,32616761
Human,Knee,Mesenchymal cell,"PDGFRA, SNAI2, ZEB1, ZEB2",33495604
Human,Knee,Natural killer cell,"KLRA1P, KLRB1, KLRC1, KLRD1, NCAM1","33495604, 32616761"
Human,Knee,Smooth muscle cell,"ACTA2, RGS5",32616761
Human,Knee,Synovial intimal fibroblast,PRG4,32616761
Human,Knee,Synovial subintimal fibroblast,CCN5,32616761
Human,Knee,T cell,"CD3D, CD2, CD3E, CD3G","33495604, 32616761"
Human,Calcareous tooth,Dental pulp stem cell,BARX1,30778087
Human,Calcareous tooth,Embryonic stem cell,"NANOG, PODXL, POU5F1",23871383
Human,Calcareous tooth,Hematopoietic stem cell,"KIT, PTPRC",23871383
Human,Calcareous tooth,Mesenchymal stem cell,"ENG, MCAM, THY1, CD34, ALCAM, CD24, CD81, ITGA6, TFRC","22571499, 20415916, 23826699, 23871383"
Human,Umbilical artery,Endothelial cell of artery,PECAM1,25001945
Human,Stomach,B cell,"CD19, CD79A, CD40, IGHG1, MS4A1","33287869, 35184420, 32199615, 34976204"
Human,Stomach,Brush cell,"SH2D6, TRPM5",33691112
Human,Stomach,Cancer-associated fibroblast,"CD34, CFD",34976204
Human,Stomach,"CD4-positive, alpha-beta exhausted T cell","CXCL13, TIGIT",35184420
Human,Stomach,"CD4-positive, alpha-beta T cell",CD4,"33287869, 35184420"
Human,Stomach,"CD8-positive, alpha-beta cytotoxic T cell","GNLY, GZMB",35184420
Human,Stomach,"CD8-positive, alpha-beta exhausted T cell","CTLA4, LAG3, TIGIT",35184420
Human,Stomach,"CD8-positive, alpha-beta T cell",CD8A,35184420
Human,Stomach,Common lymphoid progenitor,"CCR7, CD44, TCF7",34976204
Human,Stomach,Dendritic cell,"CD1C, CCR7, CLEC4C, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB1, LAMP3","35184420, 32214235"
Human,Stomach,"Effector memory CD4-positive, alpha-beta T cell","ANXA1, CCL5, CCR7, CD44, CXCR4, GZMA, GZMK, IL7R","35184420, 34976204"
Human,Stomach,"Effector memory CD8-positive, alpha-beta T cell","CXCR4, CCL5, CD69, GZMK, IL7R, CD44, CXCR3, EOMES, KLRB1, NR4A1, PTPRC, RUNX3, TCF7","35184420, 34976204"
Human,Stomach,Effector T cell,"CCL5, CCL4, CD160, CD82, CFD, FCGR3A, GZMA, IL2RB, KLRD1, KLRF1, NKG7, S100A10",34976204
Human,Stomach,Endothelial cell,"PECAM1, VWF, AQP1, CAV1, CD34, CDH5, EMCN, ENG, EPAS1, ICAM1, PLVAP, SELE","33287869, 35184420, 32214235, 34976204"
Human,Stomach,Enterocyte,"APOA1, FABP1, TGFBR2","32199615, 34976204, 33691112"
Human,Stomach,Enteroendocrine cell,CHGA,32199615
Human,Stomach,Epithelial cell,"KRT19, CAV1, CDH1, CLDN4, EPCAM, KRT18, KRT8, MUC1, TSPAN8, UPK3B","35184420, 32214235, 32199615, 34976204"
Human,Stomach,Exhausted T cell,"CD69, CTLA4, CXCL13, GATA3, GNLY, GZMA, HAVCR2, IL2RB, NKG7, PDCD1, PTPRC, TCF7, TIGIT, TOX2",34976204
Human,Stomach,Fibroblast,"DCN, COL1A2, BMP4, COL3A1, FBLN1, FN1, GSN, IL6, MGP, SPARC","33287869, 35184420, 32214235, 32199615, 34976204"
Human,Stomach,Foveolar cell of stomach,"GKN1, GKN2",33691112
Human,Stomach,Germinal center B cell,BCL6,34976204
Human,Stomach,Goblet cell,"TFF2, KRT18, KRT8, MUC1, MUC2, MUC5AC, TFF1","32214235, 34976204"
Human,Stomach,Hepatic pit cell,"ADAMTS6, BLOC1S3, DCUN1D3, FAHD2B, GALNT7, GREM2, MBD1, MUC5AC, NTN1, RBL1, RSPO2, SALL4, TMEM135, ZNF747","34976204, 29802404"
Human,Stomach,Inflammatory CAF,"CXCL12, PDGFRA",35184420
Human,Stomach,Isthmus stem cell,"ASPM, MKI67, STMN1","33691112, 26178168"
Human,Stomach,Macrophage,"CD68, C1QA, C1QB, CD14, CD163, CD74, CTSB, CXCL3, FCER1G, FCGR3A, LGMN","35184420, 32214235, 32199615, 34976204"
Human,Stomach,Mast cell,"CPA3, GATA2, KIT, MS4A2, TPSAB1, TPSB2","35184420, 32214235, 34976204"
Human,Stomach,Matrix CAF,"CXCL14, POSTN",34976204
Human,Stomach,Monocyte,"FCN1, S100A8, S100A9, VCAN","33287869, 35184420"
Human,Stomach,Mononuclear phagocyte,CSF1R,35184420
Human,Stomach,Mucosal invariant T cell,"KLRB1, SLC4A10",35184420
Human,Stomach,Mucous cell of stomach,"MUC5AC, MUC6, PGC, TSPAN8","33287869, 32199615"
Human,Stomach,Mucous neck cell,"GKN1, GKN2, MUC6, TSPAN8","32199615, 33691112"
Human,Stomach,Myeloid dendritic cell,"ADGRE1, CCR7, CD1A, CD1B, CD1C, CD207, CD209, CD4, CD40, CD80, CD83, CD86, HLA-DR family, ITGA4, ITGAM, ITGAX, LY75, MHC Class II, NRP1, PDCD1LG2",Company
Human,Stomach,Myeloid suppressor cell,FCN1,34976204
Human,Stomach,Myofibroblast CAF,"ACTA2, RGS5",35184420
Human,Stomach,Myofibroblast cell,"ACTA2, MYH11, MYL9",34976204
Human,Stomach,Naive B cell,"CR2, FCER2",34976204
Human,Stomach,"Naive thymus-derived CD4-positive, alpha-beta T cell","CCR7, LEF1",35184420
Human,Stomach,"Naive thymus-derived CD8-positive, alpha-beta T cell","LEF1, SELL",35184420
Human,Stomach,Natural killer cell,"GNLY, KLRD1, KLRF1","33287869, 35184420"
Human,Stomach,Neutrophil,"CSF3R, S100A8, S100A9","35184420, 32561858"
Human,Stomach,Paneth cell,UBE2C,32199615
Human,Stomach,Parietal cell,"ATP4A, ATP4B, ESRRG","34976204, 33691112"
Human,Stomach,Peptic cell,"PGA3, PGA5, PGC, LIPF, PGA4","33287869, 32214235, 34976204, 33691112"
Human,Stomach,Pericyte,"PDGFRB, RGS5",34976204
Human,Stomach,Plasma cell,"JCHAIN, IGKC, CD79A, IGHA1, IGHA2, IGHG1, IGHG2, IGHG4, SDC1","33287869, 32214235, 34976204"
Human,Stomach,Progenitor cell,"ALDH1A3, ANXA1, ASPM, CFH, FGD5, FKBP14, H6PD, HBB, KERA, PLXDC1","26178168, 29802404"
Human,Stomach,Regulatory T cell,"CTLA4, FOXP3, TIGIT","35184420, 34976204"
Human,Stomach,Smooth muscle cell,"ACTA2, MYH11, MYL9, TAGLN",32214235
Human,Stomach,Stem cell,"LGR5, CD44, DPP4","26137071, 27704362, 27207778, 24469993, 23352663, 21978106, 21761008, 20085740"
Human,Stomach,Stromal cell,"DCN, LUM, COL1A2, MCAM, MGP, PECAM1, VWF","35184420, 32214235"
Human,Stomach,T cell,"CD3D, CD3E, BRCA1, CD2, CD3G, GZMA, IL2RA, ITGAE, MKI67, TCF19, TRAC, TRBC1, TRBC2, XCL2","33287869, 35184420, 32214235, 32199615, 34976204"
Human,Stomach,T-helper 1 cell,"GADD45B, TNF",35184420
Human,Stomach,T-helper 17 cell,"CCL20, IL17A",34976204
Human,Stomach,Tumor-associated macrophage,"APOE, C1QA, C1QB, TREM2",34976204
Human,Epithelium of mammary gland,Epithelial cell,"FLOT2, KRT19, KRT8, MUC family, MUC1","11914275, 26052514, 19434490"
Human,Nose,B cell,"CD19, CD79A, MS4A1",32066986
Human,Nose,Basal cell,"KRT5, TP63, CXCL14, DLK2, KRT15, MEG3, SOX2","34003804, 35038898, 35597096, 36138182, 32066986"
Human,Nose,Basal proper cell of olfactory epithelium,"KRT5, SOX2, TP63",32066986
Human,Nose,"CD4-positive, alpha-beta T cell","CD3D, CD3E, CD4, IL7R",32066986
Human,Nose,"CD8-positive, alpha-beta T cell","CD3D, CD3E, CD8A",32066986
Human,Nose,Club cell,"KRT7, SCGB1A1",34003804
Human,Nose,Dendritic cell,CD1C,32066986
Human,Nose,Deuterosomal cell,PLK4,35038898
Human,Nose,Enterocyte of epithelium of large intestine,"FOXJ1, PIFO",36138182
Human,Nose,Fibroblast,"CLEC11A, DCN, LUM",32066986
Human,Nose,Globose cell of olfactory epithelium,"ASCL1, CXCR4, EZH2, HES6, NEUROD1, NEUROG1, SOX2",32066986
Human,Nose,Goblet cell,"MUC5AC, SCGB1A1, CEACAM6, ITLN1, KRT7, MUC5B, TFF3","34003804, 35038898, 36138182"
Human,Nose,Immature neuron,"CBX8, EBF2, GNG8, LHX2, OLIG2",32066986
Human,Nose,Ionocyte,"CFTR, FOXI1","35038898, 35597096, 36138182"
Human,Nose,Lung ciliated cell,"CFAP126, FOXJ1",32066986
Human,Nose,Macrophage,"C1QA, C1QB, C1QC",32066986
Human,Nose,Mast cell,"TPSAB1, TPSB2",32066986
Human,Nose,Microvillous olfactory receptor neuron,"ASCL3, CFTR, FOXL1, HEPACAM2",32066986
Human,Nose,Monocyte,"CD14, CLEC10A, S100A12",32066986
Human,Nose,Multi-ciliated epithelial cell,"CCDC153, FOXJ1, MLF1","34003804, 35038898"
Human,Nose,Myoepithelial cell,"ACTA2, KRT14",36138182
Human,Nose,Nasopharyngeal epithelial cell,"FOXJ1, KRT15, KRT5, KRT7, MUC5AC, SCGB1A1, SERPINB4",34003804
Human,Nose,Natural killer cell,"CX3CR1, FCGR3A, FGFBP2",32066986
Human,Nose,Neutrophil,"CSF3R, S100A8, S100A9",32561858
Human,Nose,Olfactory ensheathing cell,"ALX3, MPZ, PLP1, PMP2, S100B",32066986
Human,Nose,Olfactory epithelial supporting cell,"CYP2A13, CYP2J2, ERMN, GPX6, SOX2",32066986
Human,Nose,Pericyte,"ENG, SOX17",32066986
Human,Nose,Plasma cell,"CD79A, IGHG1, MZB1, SDC1",32066986
Human,Nose,Progenitor cell,"SCGB1A1, SOX9",32066986
Human,Nose,Submucosal gland epithelial cell,"LTF, LYZ",36138182
Human,Nose,Suprabasal cell,"KRT5, SERPINB4",34003804
Human,Nose,Vascular associated smooth muscle cell,"MYH11, TAGLN",32066986
Human,Mesenchyme of umbilical cord,Mesenchymal stem cell of Whartons jelly,ENG,27141940
Human,Vertebra,B cell,MS4A1,35084549
Human,Vertebra,Cancer-associated fibroblast,"ACTA2, COL1A2, FNDC1, PDGFRB, WWTR1",35084549
Human,Vertebra,Endothelial cell,ENG,35084549
Human,Vertebra,Fibroblast,COL1A2,35084549
Human,Vertebra,Inflammatory CAF,"CCL3, CHRDL1, GADD45G",35084549
Human,Vertebra,Matrix CAF,"COL1A1, SFRP2, THBS2",35084549
Human,Vertebra,Mononuclear phagocyte,CD14,35084549
Human,Vertebra,Neutrophil,S100A8,35084549
Human,Entorhinal cortex,Excitatory neuron,"FN1, ROBO1, SLC17A7",34798047
Human,Hepatic sinusoid,Endothelial cell,"ACSM3, AGFG2, ANKRD55, BMPER, CCL23, CD4, CFP, CLEC1B, CLEC4G, CLEC4M, CPM, CXCL16, DAPK1, DPY19L4, EHD3, EPOR, FAM102A, FCGR2B, FLT4, GPR182, HECW2, IFITM10, IL13RA2, KCNC4, LINC00685, LYVE1, MAN1C1, MID1, MS4A4A, MS4A6A, NPL, OIT3, RAB20, RELN, RENBP, SLC7A8, SMCR5, SNX8, STAB2, TFPI2, VMO1",31242503
Human,Mouth mucosa,B cell,"IGHG3, IGHG4, IGKC, IGLC2, IGLC3",34993975
Human,Mouth mucosa,Buccal epithelial stem cell,TP63,21941360
Human,Mouth mucosa,Endothelial cell,"ACKR1, CLDN5, RAMP2, SELE, TM4SF1",34993975
Human,Mouth mucosa,Epithelial cell,"FDCSP, KRT13, KRT14, S100A8, S100A9",34993975
Human,Mouth mucosa,Fibroblast,"COL1A1, COL1A2, COL3A1, DCN, LUM",34993975
Human,Mouth mucosa,Keratinocyte stem cell,"ITGA6, ITGB4, TFRC",24329011
Human,Mouth mucosa,Mast cell,"CPA3, DCT, HPGD, HPGDS, TPSB2",34993975
Human,Mouth mucosa,Melanocyte,"MLANA, PMEL, S100B, TYRP1",34993975
Human,Mouth mucosa,Mesenchymal stem cell,"ENG, THY1, CD34","25212102, 26617710"
Human,Mouth mucosa,Monocyte,"AIF1, IL1B, LYZ",34993975
Human,Mouth mucosa,Natural killer cell,"CTSW, GNLY, GZMB, NKG7, XCL1",34993975
Human,Mouth mucosa,Neutrophil,"CXCL8, FCGR3B, G0S2, MNDA, TPSAB1",34993975
Human,Mouth mucosa,T cell,"CCL4, CCL5, CD3D, GZMK, TRAC",34993975
Human,Pancreatic acinus,Progenitor cell of endocrine pancreas,CXCR4,17328838
Human,Fetal testis,Endothelial cell,"PECAM1, VWF",33453151
Human,Fetal testis,Erythrocyte,"HBA1, HBG1",33453151
Human,Fetal testis,Germ cell,"DAZL, DDX4, TFAP2C",33453151
Human,Fetal testis,Leydig cell,DLK1,33453151
Human,Fetal testis,Macrophage,"CD14, CD4",33453151
Human,Fetal testis,Peritubular myoid cell,"ACTA2, MYH11",33453151
Human,Fetal testis,Primordial germ cell,"NANOG, NANOS3, POU5F1, SOX15, TFAP2C",33453151
Human,Fetal testis,Sertoli cell,"AMH, SOX9",33453151
Human,Fetal testis,Smooth muscle cell,RGS5,33453151
Human,Molar tooth,Dental pulp stem cell,MCAM,21238804
Human,Molar tooth,Mesenchymal stem cell,"CD44, THY1",31073804
Human,Molar tooth,Stem cell,"ENG, ITGB1, THY1","21518005, 19410081"
Human,Decidua,CD16-negative natural killer cell,"CD160, GNLY, NKG7",35549406
Human,Decidua,CD16-positive natural killer cell,"FCGR3A, GNLY, NKG7",35549406
Human,Decidua,"Central memory CD4-positive, alpha-beta T cell","CCR7, CD4, SELL",35549406
Human,Decidua,"Central memory CD8-positive, alpha-beta T cell","CCR7, CD8A, SELL",35549406
Human,Decidua,Decidual cell,DCN,32946807
Human,Decidua,"Effector memory CD4-positive, alpha-beta T cell","AQP3, ITGB1, KLRB1",35549406
Human,Decidua,"Effector memory CD8-positive, alpha-beta T cell","CCL5, CD8A, GZMK",35549406
Human,Decidua,"Effector memory CD8-positive, alpha-beta T cell, terminally differentiated","CX3CR1, GNLY, GZMB",35549406
Human,Decidua,Endothelial cell of lymphatic vessel,"ADM, CD9, DEPP1, FABP5, LYVE1, STMN1",30402542
Human,Decidua,Endothelial cell of vascular tree,"ACKR1, AQP1, CDH5, FAM167B, HP, IFI27, PCDH17",30402542
Human,Decidua,Epithelial cell,"CDH1, KRT8, PAEP",30402542
Human,Decidua,Extravillous trophoblast,HLA-G,32946807
Human,Decidua,Granulocyte,"CPA3, KIT, SLC45A3",35549406
Human,Decidua,"Group 3 innate lymphoid cell, human","IL4I1, KIT, RORC",35549406
Human,Decidua,Hofbauer cell,"F13A1, LYVE1, SCIN",35549406
Human,Decidua,Macrophage,"CD14, C1QA, CD68, TREM2","35549406, 32946807, 33482359"
Human,Decidua,Mast cell,TPSAB1,33482359
Human,Decidua,Memory B cell,"CD27, CR2, MS4A1",35549406
Human,Decidua,Monocyte,"FCN1, LYZ, S100A9",35549406
Human,Decidua,Mucosal invariant T cell,"KLRB1, SLC4A10, TRAV1-2",35549406
Human,Decidua,Naive B cell,"IGHD, IGHM, TCL1A",35549406
Human,Decidua,Natural killer cell,"XCL2, NKG7, XCL1, CD160, CSF1, ENTPD1, FCGR3A, GNLY, GZMA, GZMB, ITGAE, KIR2DL1, KLRB1, MCM5, NCAM1, PCNA, PLAC8, PRF1, STMN1, ZNF683","35549406, 33482359, 30402542"
Human,Decidua,Non-classical monocyte,"C1QA, CX3CR1, FCGR3A",35549406
Human,Decidua,"Plasmacytoid dendritic cell, human","IL3RA, LILRA4, PLD4",35549406
Human,Decidua,Regulatory T cell,"FOXP3, CTLA4, IL2RA","35549406, 33482359"
Human,Decidua,Stromal cell,"APOA1, CHI3L2, IGFBP1, IL1B, PRL, PROK1, SERPINA3","32946807, 30402542"
Human,Decidua,Syncytiotrophoblast cell,CYP19A1,32946807
Human,Decidua,T cell,"CD3D, CD69",30402542
Human,Decidua,T follicular helper cell,"CXCR5, ICOS, PDCD1",35549406
Human,Decidua,T-helper 1 cell,"CCL5, CXCR3, TBX21",35549406
Human,Decidua,T-helper 17 cell,"CCR6, IL7R, ZBTB16",35549406
Human,Decidua,Trophoblast cell,"Cytokeratin family, PAGE4","32946807, 2022703"
Human,Decidua,Type 1 conventional dendritic cell,"BATF3, CADM1, CLEC9A",35549406
Human,Decidua,Vascular associated smooth muscle cell,"ACTA2, MYH11, NDUFA4L2, PI15, RGS5",30402542
Human,Tunica intima of artery,Endothelial cell,"CDH5, PECAM1",32674599
Human,Tunica intima of artery,Smooth muscle cell,"ACTA2, MYH11",32674599
Human,Muscle scar,Mast cell,ENG,29734249
Human,Epithelium of trachea,Basal cell,"KRT14, KRT5, SOSTDC1, TP63, SOX9",32286221
Human,Epithelium of trachea,Ciliated cell,"FOXJ1, FOXN4, SHISA8, SNTN",32286221
Human,Chest wall,B cell,"BLK, CD19, CD79A, CD79B",33495604
Human,Chest wall,Cancer-associated fibroblast,"COL1A1, COL1A2, COL6A1, COL6A2, COL6A3, DCN, FAP, THY1",33495604
Human,Chest wall,Endothelial cell,"CDH5, PECAM1, VWF",33495604
Human,Chest wall,Epithelial cell,"EPCAM, KRT1, KRT10, KRT12, KRT13, KRT14, KRT15, KRT16, KRT17, KRT18, KRT19, KRT2, KRT20, KRT23, KRT24, KRT25, KRT26, KRT27, KRT28, KRT3, KRT31, KRT32, KRT33A, KRT33B, KRT34, KRT35, KRT36, KRT37, KRT38, KRT39, KRT4, KRT40, KRT5, KRT6A, KRT6B, KRT6C, KRT7, KRT71, KRT72, KRT73, KRT74, KRT75, KRT76, KRT77, KRT78, KRT79, KRT8, KRT80, KRT81, KRT82, KRT83, KRT84, KRT85, KRT86, KRT9, MUC1",33495604
Human,Chest wall,Macrophage,"CD14, CD163, CSF1R",33495604
Human,Chest wall,Mast cell,"ENPP3, KIT",33495604
Human,Chest wall,Mesenchymal cell,"PDGFRA, SNAI2, ZEB1, ZEB2",33495604
Human,Chest wall,Natural killer cell,"KLRA1P, KLRB1, KLRC1, KLRD1",33495604
Human,Chest wall,T cell,"CD2, CD3D, CD3E, CD3G",33495604
Human,Nerve,Glial cell,S100 family,12573376
Human,Tongue,B cell,"CD79A, CD79B, MS4A1",35610596
Human,Tongue,Dendritic cell,"LILRA4, PLAC8, PLD4",35610596
Human,Tongue,Mast cell,"CPA3, TPSAB1",35610596
Human,Tongue,Natural killer cell,"GNLY, KLRD1, TRDC",35610596
Human,Tongue,T cell,"CD2, CD3D, CD3E",35610596
Human,Anterior cruciate ligament of knee joint,Mesenchymal stem cell,"CD44, ENG, ITGB1, THY1",26227919
Human,Thyroid gland,B cell,"CD79A, CD79B, CD19, MS4A1, BLK, CD22, CD74, IGHD, IGHM","32214235, 33112823, 34805166, 33495604, 35140214, 34663816, 23335182"
Human,Thyroid gland,Cancer-associated fibroblast,"FAP, COL1A1, COL1A2, COL6A1, COL6A2, COL6A3, CXCL12, DCN, POSTN, THY1","33112823, 33495604"
Human,Thyroid gland,Capillary endothelial cell,"ACKR1, CD74, CLU, CPE, CYP1B1, HLA-DRA, POSTN, PTGDS, SELE, VWF",34663816
Human,Thyroid gland,"CD4-positive, alpha-beta T cell","CD4, MS4A6A, MSR1","33112823, 33495604"
Human,Thyroid gland,"CD8-positive, alpha-beta T cell","CD2, CD3D, CD8A, CD8B","33112823, 33495604"
Human,Thyroid gland,Dendritic cell,"CD1C, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB1",32214235
Human,Thyroid gland,Endothelial cell,"PECAM1, VWF, CD34, CDH5, AQP1, CAV1, EMCN, EPAS1, ICAM1, LYVE1, PLVAP, SELE","32214235, 33495604, 35140214, 34663816"
Human,Thyroid gland,Endothelial cell of artery,"CXCL12, FBLN5, GJA5, IGFBP3, JAG1, PPP1R14A, SAT1, SEMA3G, SERPINE2, SRGN",34663816
Human,Thyroid gland,Endothelial cell of lymphatic vessel,"PROX1, CAVIN2, CCL21, EFEMP1, FABP4, LYVE1, MMRN1, PKHD1L1, PPFIBP1, TFF3, TFPI","35140214, 34663816"
Human,Thyroid gland,Endothelial cell of vascular tree,"CD34, VWF",33112823
Human,Thyroid gland,Epithelial cell,"EPCAM, KRT18, DIO2, ID4, IYD, KRT1, KRT10, KRT12, KRT13, KRT14, KRT15, KRT16, KRT17, KRT19, KRT2, KRT20, KRT23, KRT24, KRT25, KRT26, KRT27, KRT28, KRT3, KRT31, KRT32, KRT33A, KRT33B, KRT34, KRT35, KRT36, KRT37, KRT38, KRT39, KRT4, KRT40, KRT5, KRT6A, KRT6B, KRT6C, KRT7, KRT71, KRT72, KRT73, KRT74, KRT75, KRT76, KRT77, KRT78, KRT79, KRT8, KRT80, KRT81, KRT82, KRT83, KRT84, KRT85, KRT86, KRT9, MUC1, TFF3, TG, TPO","33495604, 34663816"
Human,Thyroid gland,Fibroblast,"ACTA2, COL1A1, COL1A2, DCN, FN1, COL3A1, FBLN1, GSN, MGP","32214235, 33112823, 35140214, 34663816"
Human,Thyroid gland,Follicular epithelial cell,"EPCAM, TG",33112823
Human,Thyroid gland,Immature endothelial cell,"COL15A1, CXCL12, HES1, ID2, JUNB, MT1X, MT2A, PLVAP, SPARC",34663816
Human,Thyroid gland,Macrophage,"CD163, C1QA, C1QB, CD14, CD74, CSF1R, FCER1G","32214235, 33495604"
Human,Thyroid gland,Mast cell,"ENPP3, KIT",33495604
Human,Thyroid gland,Mesenchymal cell,"PDGFRA, SNAI2, ZEB1, ZEB2",33495604
Human,Thyroid gland,Monocyte,CD14,32214235
Human,Thyroid gland,Myofibroblast cell,"ACTA2, MYL9, MYLK, TAGLN",34663816
Human,Thyroid gland,Natural killer cell,"KLRA1P, KLRB1, KLRC1, KLRD1",33495604
Human,Thyroid gland,Neutrophil,"CSF3R, S100A8, S100A9",32561858
Human,Thyroid gland,Plasma cell,"IGKC, JCHAIN, CD38, CD79A, IGHA1, IGHA2, IGHG1, IGHG2, IGHG4, SDC1","32214235, 35140214"
Human,Thyroid gland,Smooth muscle cell,"ACTA2, MYH11, MYL9, TAGLN",32214235
Human,Thyroid gland,Stromal cell,"DCN, LUM, ACTA2, CNN1, COL1A2, MGP","32214235, 35140214"
Human,Thyroid gland,T cell,"CD3D, CD3E, CD3G, TRAC, TRBC1, TRBC2, CD2, CD4, CD8A","32214235, 33495604, 35140214, 23335182"
Human,Thyroid gland,Thyroid follicular cell,"TG, EPCAM, KRT18, KRT19, TFF3, TPO","32214235, 35140214, 34663816"
Human,Thyroid gland,Tip cell,"A2M, ABCG2, BTNL9, CA4, COL21A1, CPM, CXCR4, EDNRB, ENPP2, ESM1, IGFBP3, INSR, IVNS1ABP, KCNE3, KDR, NRP1, PCDH17, PDGFD, PLPP3, PLVAP, SEC14L1, SPARC, SPARCL1, THY1",34663816
Human,Gall bladder,Stem cell,PROM1,26910892
Human,Nasopharynx,Alternatively activated macrophage,"A2M, FCN1, FCN2, FCN3, GPR183, MRC1, SPP1",34618691
Human,Nasopharynx,B cell,"MS4A1, CD79A, CD19, CD79B, CXCR3, FCRL4, FCRL5, ITGAX","32901110, 34618691, 32061950, 33619488"
Human,Nasopharynx,Basal cell,"KRT5, TP63, KRT15, MKI67, TOP2A","34618691, 34352228, 33619488"
Human,Nasopharynx,Cancer-associated fibroblast,"FAP, MMP11, PDPN",32901110
Human,Nasopharynx,"CD4-positive, alpha-beta T cell","CCR7, CD4, HNF1A",34618691
Human,Nasopharynx,"CD8-positive, alpha-beta cytotoxic T cell","CD8A, GZMB, IFNG","34618691, 32061950"
Human,Nasopharynx,"CD8-positive, alpha-beta T cell","APOBEC3C, GBP5, GNLY, GZMA, GZMB, GZMH, IFIT3, IKZF3, IL2RB, ISG20, LAG3, PRF1, TBX21",33619488
Human,Nasopharynx,Ciliated cell,"CAPSL, FOXJ1, PIFO, SNTN, TPPP3","34618691, 34352228, 33619488"
Human,Nasopharynx,Dendritic cell,"CCR7, CD86, IL3RA","34352228, 32061950, 33619488"
Human,Nasopharynx,Deuterosomal cell,"CCNO, CDC20B, DEUP1, FOXN4, HES6","34352228, 33619488"
Human,Nasopharynx,Endothelial cell,VWF,32901110
Human,Nasopharynx,Enteroendocrine cell,GIP,"34352228, 33619488"
Human,Nasopharynx,Epithelial cell,"CFTR, FOXJ1, KRT7, MUC5AC, MUC5B, SCGB1A1",34618691
Human,Nasopharynx,Fibroblast,LUM,32901110
Human,Nasopharynx,Goblet cell,"AQP5, CP, CXCL17, F3, KRT7, MUC5AC","34352228, 33619488"
Human,Nasopharynx,Hillock cell,"KRT13, KRT4",34618691
Human,Nasopharynx,Inflammatory macrophage,"CCL3, CCL3L1, CXCL2, CXCL3, FCN1, FCN2, FCN3, IL1B, S100A8, S100A9","34618691, 33619488"
Human,Nasopharynx,Ionocyte,"CFTR, FOXI1, FOXI2","34352228, 33619488"
Human,Nasopharynx,Keratinized squamous cell of esophagus,SCEL,"34352228, 33619488"
Human,Nasopharynx,Langerhans cell,FCER1A,32901110
Human,Nasopharynx,Macrophage,"CD163, C1QB, CD14, IFIT3, ISG15, MX1, VCAN, ALOX5, ALOX5AP, APOC1, APOC2, APOC3, APOC4, APOE, C1QA, C1QC, CCL15, CCL18, CD68, CHIT1, CTSB, CTSD, CTSL, CXCL10, FABP4, FCGR3A, FFAR4, FTH1, FTL, IFIT1, IFIT2, ITGAM, ITGAX, LTA4H, MARCO, MRC1, NPC2, PSAP, S100A8, SIGLEC11, TLR2, TLR8","32901110, 34618691, 34352228, 32061950, 33619488"
